"Category";"CommonName";"FullName";"ShortName";"OrgInfo";"ObjectAddress";"ChiefOrg";"ChiefName";"ChiefPosition";"PublicPhone";"Fax";"Email";"WorkingHours";"ClarificationOfWorkingHours";"WebSite";"NumOfSeats";"NumOfReaders";"NumOfVisitors";"global_id";"geoData";"geodata_center";
"Категория";"Общепринятое наименование";"Полное официальное наименование";"Сокращенное официальное наименование";"Информация о юридическом лице";"Адреса объекта";"Вышестоящая организация";"ФИО руководителя";"Должность руководителя";"Контактный телефон";"Факс";"Адрес электронной почты";"График работы";"Уточнение к графику работы";"Сайт";"Количество мест в читальном зале";"Количество читателей";"Количество посещений";"global_id";"geoData";"geodata_center";
"Библиотека";"Библиотека №184";"Государственное бюджетное учреждение города Москвы «Мой досуговый центр «Атлант». Библиотека №184";"ГБУ г. Москвы «Атлант». Библиотека №184";"nested data";"nested data";"Префектура Юго-западного административного округа";"Астанина Евгения Алексеевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день: последний вторник месяца";"kulturauzao.ru";"34";"3194";"25374";"2639269522";"{coordinates=[[37.479713392, 55.633015181]], type=MultiPoint}";"";
"Библиотека";"Библиотека №42 имени А.П. Платонова";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северного административного округа». Библиотека №42 имени А.П. Платонова";"ГБУ г. Москвы «ОКЦ САО». Библиотека №42 имени А.П. Платонова";"nested data";"nested data";"Префектура Северного административного округа";"Галустова Елена Викторовна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день";"kulturasao.ru";"12";"398";"9042";"2639269524";"{coordinates=[[37.524474359, 55.806656105]], type=MultiPoint}";"";
"Библиотека";"Библиотека №60 имени О.Э. Мандельштама";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северо-Восточного административного округа». Библиотека №60 имени О.Э. Мандельштама";"ГБУ г. Москвы «ОКЦ СВАО». Библиотека №60 имени О.Э. Мандельштама";"nested data";"nested data";"Префектура Северо-Восточного административного округа";"Пантелеева Марина Сергеевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"График работы библиотеки по адресу ул. Гончарова. д. 17. к. 4: вторник-суббота 12:00-21:00. воскресенье 12:00-20:00. понедельник - выходной. санитарный день — последний вторник месяца.";"культурасвао.рф";"40";"2115";"24617";"2639269525";"{coordinates=[[37.635493493, 55.817911111], [37.590434456, 55.816015263]], type=MultiPoint}";"";
"Библиотека";"Библиотека №139";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Южного административного округа». Библиотека №139";"ГБУ г. Москвы «ОКЦ ЮАО». Библиотека №139";"nested data";"nested data";"Префектура Южного административного округа";"Герасимова Татьяна Евгеньевна";"исполняющий обязанности руководителя";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день.";"kulturauao.ru";"";"";"";"2639269535";"{coordinates=[[37.675293493, 55.626017808]], type=MultiPoint}";"";
"Библиотека";"Библиотека №30";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северного административного округа». Библиотека №30";"ГБУ г. Москвы «ОКЦ САО». Библиотека №30";"nested data";"nested data";"Префектура Северного административного округа";"Зубкова Наталья Александровна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Режим работы: ул. Софьи Ковалевской. д.8 ВТ - ВС 12.00 - 20.00, ПН - выходной. Последний вторник месяца - санитарный день";"kulturasao.ru";"53";"2634";"30973";"2639269541";"{coordinates=[[37.533092537, 55.882599915], [37.533043837, 55.884316079], [37.521320635, 55.881152201]], type=MultiPoint}";"";
"Библиотека";"Библиотека №25 имени В. Иванова";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северного административного округа». Библиотека №25 имени Всеволода Иванова";"ГБУ г. Москвы «ОКЦ САО». Библиотека №25 им. В. Иванова";"nested data";"nested data";"Префектура Северного административного округа";"Михальчев Михаил Михайлович";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день. Библиотека по ул. Зорге 36 закрыта для обслуживания.";"kulturasao.ru";"";"";"";"2639269542";"{coordinates=[[37.497669846, 55.803779426]], type=MultiPoint}";"";
"Библиотека";"Библиотека № 101";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Восточного административного округа». Библиотека № 101";"ГБУ г. Москвы «ОКЦ ВАО». Библиотека № 101";"nested data";"nested data";"Префектура Восточного административного округа";"Третьяк Татьяна Богдановна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день - последний вторник месяца";"kulturavao.ru";"24";"1670";"12512";"2639269543";"{coordinates=[[37.895512199, 55.722837413]], type=MultiPoint}";"";
"Библиотека";"Детская библиотека №145";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Южного административного округа». Детская библиотека №145";"ГБУ г. Москвы «ОКЦ ЮАО». Детская библиотека №145";"nested data";"nested data";"Префектура Южного административного округа";"Михайлова Ольга Викторовна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день: последний вторник месяца";"kulturauao.ru";"22";"2517";"37616";"2639269545";"{coordinates=[[37.737583732, 55.617281588]], type=MultiPoint}";"";
"Библиотека";"Библиотека №223";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Западного административного округа». Библиотека №223";"ГБУ г. Москвы «ОКЦ ЗАО». Библиотека №223";"nested data";"nested data";"Префектура Западного административного округа";"Дергачева Наталья Константиновна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день - последний вторник месяца, Новопеределкинская ул. Д.8, Боровское шоссе д. 46  работает по графику: вт-сб с 11.00 до 20.00. вс с 11.00 до 19.00. пн - выходной.,";"kulturazao.ru";"36";"11656";"75751";"2639269546";"{coordinates=[[37.361713755, 55.640982829], [37.348867273, 55.6369525], [37.335794942, 55.642404139], [37.368947727, 55.640295763]], type=MultiPoint}";"";
"Библиотека";"Библиотека № 85";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Восточного административного округа». Библиотека № 85";"ГБУ г. Москвы «ОКЦ ВАО». Библиотека № 85";"nested data";"nested data";"Префектура Восточного административного округа";"Шестакова Наталья Андреевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день - последний вторник месяца.";"kulturavao.ru";"34";"772";"16220";"2639269556";"{coordinates=[[37.783079613, 55.795912349], [37.781656447, 55.796651971]], type=MultiPoint}";"";
"Библиотека";"Библиотека №192";"Государственное бюджетное учреждение города Москвы «Мой досуговый центр «Атлант». Библиотека №192";"ГБУ г. Москвы «Атлант». Библиотека №192";"nested data";"nested data";"Префектура Юго-западного административного округа";"Гарбуз Римма Викторовна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день - последний вторник месяца";"kulturauzao.ru";"46";"5628";"43503";"2639269557";"{coordinates=[[37.573442179, 55.578687848]], type=MultiPoint}";"";
